#include        | PREPROCESSOR    | Len: 8   | Line: 1 | Pos: 0
<iostream>      | HEADER          | Len: 10  | Line: 1 | Pos: 9
#include        | PREPROCESSOR    | Len: 8   | Line: 2 | Pos: 20
<cmath>         | HEADER          | Len: 7   | Line: 2 | Pos: 29
#include        | PREPROCESSOR    | Len: 8   | Line: 3 | Pos: 37
"my_header.h"   | HEADER          | Len: 13  | Line: 3 | Pos: 46
#define         | PREPROCESSOR    | Len: 7   | Line: 5 | Pos: 61
PI              | IDENTIFIER      | Len: 2   | Line: 5 | Pos: 69
3.14159         | NUMBER          | Len: 7   | Line: 5 | Pos: 72
using           | KEYWORD         | Len: 5   | Line: 6 | Pos: 80
namespace       | KEYWORD         | Len: 9   | Line: 6 | Pos: 86
std             | IDENTIFIER      | Len: 3   | Line: 6 | Pos: 96
;               | SEPARATOR       | Len: 1   | Line: 6 | Pos: 99
/*nnm
jjk
*/    | COMMENT         | Len: 12  | Line: 8 | Pos: 102
class           | KEYWORD         | Len: 5   | Line: 10 | Pos: 116
Shape           | IDENTIFIER      | Len: 5   | Line: 10 | Pos: 122
{               | SEPARATOR       | Len: 1   | Line: 10 | Pos: 128
protected       | KEYWORD         | Len: 9   | Line: 11 | Pos: 130
:               | SEPARATOR       | Len: 1   | Line: 11 | Pos: 139
double          | KEYWORD         | Len: 6   | Line: 12 | Pos: 145
area            | IDENTIFIER      | Len: 4   | Line: 12 | Pos: 152
;               | SEPARATOR       | Len: 1   | Line: 12 | Pos: 156
public          | KEYWORD         | Len: 6   | Line: 13 | Pos: 158
:               | SEPARATOR       | Len: 1   | Line: 13 | Pos: 164
Shape           | IDENTIFIER      | Len: 5   | Line: 14 | Pos: 170
(               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 175
)               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 176
:               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 178
area            | IDENTIFIER      | Len: 4   | Line: 14 | Pos: 180
(               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 184
0               | NUMBER          | Len: 1   | Line: 14 | Pos: 185
)               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 186
{               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 188
}               | SEPARATOR       | Len: 1   | Line: 14 | Pos: 189
virtual         | KEYWORD         | Len: 7   | Line: 15 | Pos: 195
void            | KEYWORD         | Len: 4   | Line: 15 | Pos: 203
computeArea     | IDENTIFIER      | Len: 11  | Line: 15 | Pos: 208
(               | SEPARATOR       | Len: 1   | Line: 15 | Pos: 219
)               | SEPARATOR       | Len: 1   | Line: 15 | Pos: 220
=               | OPERATOR        | Len: 1   | Line: 15 | Pos: 222
0               | NUMBER          | Len: 1   | Line: 15 | Pos: 224
;               | SEPARATOR       | Len: 1   | Line: 15 | Pos: 225
// Funcție pur virtuală | COMMENT         | Len: 23  | Line: 15 | Pos: 227
}               | SEPARATOR       | Len: 1   | Line: 16 | Pos: 251
;               | SEPARATOR       | Len: 1   | Line: 16 | Pos: 252
class           | KEYWORD         | Len: 5   | Line: 18 | Pos: 255
Circle          | IDENTIFIER      | Len: 6   | Line: 18 | Pos: 261
:               | SEPARATOR       | Len: 1   | Line: 18 | Pos: 268
public          | KEYWORD         | Len: 6   | Line: 18 | Pos: 270
Shape           | IDENTIFIER      | Len: 5   | Line: 18 | Pos: 277
{               | SEPARATOR       | Len: 1   | Line: 18 | Pos: 283
private         | KEYWORD         | Len: 7   | Line: 19 | Pos: 285
:               | SEPARATOR       | Len: 1   | Line: 19 | Pos: 292
double          | KEYWORD         | Len: 6   | Line: 20 | Pos: 298
radius          | IDENTIFIER      | Len: 6   | Line: 20 | Pos: 305
;               | SEPARATOR       | Len: 1   | Line: 20 | Pos: 311
public          | KEYWORD         | Len: 6   | Line: 21 | Pos: 313
:               | SEPARATOR       | Len: 1   | Line: 21 | Pos: 319
Circle          | IDENTIFIER      | Len: 6   | Line: 22 | Pos: 325
(               | SEPARATOR       | Len: 1   | Line: 22 | Pos: 331
double          | KEYWORD         | Len: 6   | Line: 22 | Pos: 332
r               | IDENTIFIER      | Len: 1   | Line: 22 | Pos: 339
)               | SEPARATOR       | Len: 1   | Line: 22 | Pos: 340
:               | SEPARATOR       | Len: 1   | Line: 22 | Pos: 342
radius          | IDENTIFIER      | Len: 6   | Line: 22 | Pos: 344
(               | SEPARATOR       | Len: 1   | Line: 22 | Pos: 350
